FishID,dataset,mig.bool2,mig.bool,stray.bool2,stray.bool,prbt,old.std.prbt,F1,HybridClasses3,HC3.int,HybridClasses2,HC2.int
CYC1,stray,1,NA,0,0,0.5,0.040005335,1,HHyb,3,HHyb,2
CYC2,stray,1,NA,1,1,0.5,0.040005335,1,HHyb,3,HHyb,2
CYC7,stray,1,NA,0,0,0.025641026,-3.297966225,0,LHyb,2,WCT/LHyb,1
CYC8,stray,1,NA,0,0,0.5,0.040005335,1,HHyb,3,HHyb,2
CYC9,stray,1,NA,1,1,0.5,0.040005335,1,HHyb,3,HHyb,2
CYC10,stray,1,NA,1,1,0.551282051,0.246366824,0,HHyb,3,HHyb,2
CYC11,stray,1,NA,1,1,0.346153846,-0.592097016,0,LHyb,2,WCT/LHyb,1
CYC12,stray,1,NA,1,1,0,-4.59511985,0,WCT,1,WCT/LHyb,1
CYC13,stray,1,NA,1,1,0,-4.59511985,0,WCT,1,WCT/LHyb,1
CYC14,stray,1,NA,0,0,0.5,0.040005335,1,HHyb,3,HHyb,2
CYC15,stray,1,NA,1,1,0,-4.59511985,0,WCT,1,WCT/LHyb,1
MCG1,stray,1,NA,0,0,0,-4.59511985,0,WCT,1,WCT/LHyb,1
MCG4,stray,1,NA,0,0,0.025641026,-3.297966225,0,LHyb,2,WCT/LHyb,1
MCG5,stray,1,NA,0,0,0.371794872,-0.481936845,0,LHyb,2,WCT/LHyb,1
MCG6,stray,1,NA,0,0,0.051282051,-2.729028061,0,LHyb,2,WCT/LHyb,1
MCG7,stray,1,NA,0,0,0.102564103,-2.064813431,0,LHyb,2,WCT/LHyb,1
MCG8,stray,1,NA,0,0,0.397435897,-0.374575444,0,LHyb,2,WCT/LHyb,1
MCG9,stray,1,NA,0,0,0.320512821,-0.705866566,0,LHyb,2,WCT/LHyb,1
MCG11,stray,1,NA,1,1,0.333333333,-0.648474741,0,LHyb,2,WCT/LHyb,1
MCG12,stray,1,NA,0,0,0.397435897,-0.374575444,0,LHyb,2,WCT/LHyb,1
MCG14,stray,1,NA,0,0,0.5,0.040005335,1,HHyb,3,HHyb,2
MCG15,stray,1,NA,0,0,0.435897436,-0.217260842,0,LHyb,2,WCT/LHyb,1
MCG16,stray,1,NA,0,0,0,-4.59511985,0,WCT,1,WCT/LHyb,1
MCG18,stray,1,NA,0,0,0.423076923,-0.269308264,0,LHyb,2,WCT/LHyb,1
MCG19,stray,1,NA,0,0,0.064102564,-2.525313333,0,LHyb,2,WCT/LHyb,1
MCG21,stray,1,NA,1,1,0.769230769,1.261189288,0,HHyb,3,HHyb,2
MCG22,stray,1,NA,0,0,0,-4.59511985,0,WCT,1,WCT/LHyb,1
MCG23,stray,1,NA,0,0,0.025641026,-3.297966225,0,LHyb,2,WCT/LHyb,1
MCG24,stray,1,NA,0,0,0.692307692,0.858311188,0,HHyb,3,HHyb,2
MCG25,stray,1,NA,0,0,0.474358974,-0.062584522,1,LHyb,2,WCT/LHyb,1
MCG26,stray,1,NA,0,0,0,-4.59511985,0,WCT,1,WCT/LHyb,1
MCG27,stray,1,NA,0,0,0.115384615,-1.942398293,0,LHyb,2,WCT/LHyb,1
MCG28,stray,1,NA,1,1,0.782051282,1.337334639,0,HHyb,3,HHyb,2
LAN6,stray,1,NA,0,0,0.692307692,0.858311188,0,HHyb,3,HHyb,2
LAN1,stray,1,NA,1,1,0.974358974,4.142093331,0,HHyb,3,HHyb,2
LAN2,stray,1,NA,0,0,0.5,0.040005335,0,HHyb,3,HHyb,2
LAN3,stray,1,NA,0,0,0.487179487,-0.011282171,0,LHyb,2,WCT/LHyb,1
LAN4,stray,1,NA,0,0,0.269230769,-0.948280448,0,LHyb,2,WCT/LHyb,1
PIT_139624,migration,1,1,NA,NA,0,-0.625424281,NA,LHyb,2,WCT/LHyb,1
PIT_139591,migration,1,1,NA,NA,0.497335702,2.267155353,NA,LHyb,2,WCT/LHyb,1
PIT_139613,migration,1,1,NA,NA,0.000868056,-0.620375536,NA,WCT,1,WCT/LHyb,1
PIT_139608,migration,1,1,NA,NA,0.494623656,2.251381684,NA,LHyb,2,WCT/LHyb,1
PIT_139663,migration,1,1,NA,NA,0.723385689,3.581896254,NA,HHyb,3,HHyb,2
PIT_139672,migration,1,1,NA,NA,0.569565217,2.687253133,NA,HHyb,3,HHyb,2
PIT_139633,migration,1,1,NA,NA,0.057291667,-0.292207284,NA,LHyb,2,WCT/LHyb,1
PIT_139646,migration,1,1,NA,NA,0.495559503,2.256824711,NA,LHyb,2,WCT/LHyb,1
PIT_139607,migration,1,1,NA,NA,0.237347295,0.755023471,NA,LHyb,2,WCT/LHyb,1
PIT_139638,migration,1,1,NA,NA,0.04020979,-0.391558063,NA,LHyb,2,WCT/LHyb,1
PIT_139582,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_139590,migration,1,1,NA,NA,0.035652174,-0.418065847,NA,LHyb,2,WCT/LHyb,1
PIT_139601,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_139628,migration,1,1,NA,NA,0.20017331,0.538813954,NA,LHyb,2,WCT/LHyb,1
PIT_139636,migration,1,1,NA,NA,0.196302817,0.516302582,NA,LHyb,2,WCT/LHyb,1
PIT_139625,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_139617,migration,1,1,NA,NA,0.495621716,2.257186552,NA,LHyb,2,WCT/LHyb,1
PIT_139643,migration,1,1,NA,NA,0.298401421,1.110123499,NA,LHyb,2,WCT/LHyb,1
PIT_139658,migration,1,1,NA,NA,0.10483871,-0.015666493,NA,LHyb,2,WCT/LHyb,1
PIT_139650,migration,1,1,NA,NA,0.49270073,2.240197655,NA,LHyb,2,WCT/LHyb,1
PIT_139641,migration,1,1,NA,NA,0.49551167,2.256546507,NA,LHyb,2,WCT/LHyb,1
PIT_139662,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_139661,migration,1,1,NA,NA,0.490072202,2.224909739,NA,LHyb,2,WCT/LHyb,1
PIT_139833,migration,1,1,NA,NA,0.099303136,-0.047862228,NA,LHyb,2,WCT/LHyb,1
PIT_139856,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_139860,migration,1,1,NA,NA,0.000932836,-0.619998766,NA,WCT,1,WCT/LHyb,1
PIT_139603,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_139596,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_139677,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_139642,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_139453,migration,1,1,NA,NA,0.208406305,0.586698298,NA,LHyb,2,WCT/LHyb,1
PIT_139395,migration,1,1,NA,NA,0.757088847,3.777918916,NA,HHyb,3,HHyb,2
PIT_139595,migration,1,1,NA,NA,0.297891037,1.107155028,NA,LHyb,2,WCT/LHyb,1
PIT_139857,migration,1,1,NA,NA,0.269021739,0.939246826,NA,LHyb,2,WCT/LHyb,1
PIT_139673,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_139428,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_139383,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_139609,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_139423,migration,1,1,NA,NA,0.311619718,1.187003112,NA,LHyb,2,WCT/LHyb,1
PIT_139627,migration,1,1,NA,NA,0.015337423,-0.53621951,NA,LHyb,2,WCT/LHyb,1
PIT_139863,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_139396,migration,1,1,NA,NA,0.517367459,2.383663081,NA,HHyb,3,HHyb,2
PIT_139785,migration,1,1,NA,NA,0.004340278,-0.600180568,NA,WCT,1,WCT/LHyb,1
PIT_139451,migration,1,1,NA,NA,0.492094862,2.236673836,NA,LHyb,2,WCT/LHyb,1
PIT_139854,migration,1,1,NA,NA,0.086558045,-0.121989605,NA,LHyb,2,WCT/LHyb,1
PIT_139786,migration,1,1,NA,NA,0.002599653,-0.610304306,NA,WCT,1,WCT/LHyb,1
PIT_134011,migration,1,1,NA,NA,0.022887324,-0.492308144,NA,LHyb,2,WCT/LHyb,1
PIT_133993,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_134006,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_134062,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_139555,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_134000,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_134063,migration,1,1,NA,NA,0.041594454,-0.383504648,NA,LHyb,2,WCT/LHyb,1
PIT_134047,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_134050,migration,1,1,NA,NA,0.00093985,-0.619957971,NA,WCT,1,WCT/LHyb,1
PIT_139648,migration,1,1,NA,NA,0.499121265,2.277540458,NA,LHyb,2,WCT/LHyb,1
PIT_139441,migration,1,1,NA,NA,0.101232394,-0.036641372,NA,LHyb,2,WCT/LHyb,1
PIT_139833,migration,1,1,NA,NA,0.099303136,-0.047862228,NA,LHyb,2,WCT/LHyb,1
PIT_139588,migration,1,1,NA,NA,0.495807128,2.258264936,NA,LHyb,2,WCT/LHyb,1
PIT_139421,migration,1,1,NA,NA,0.496491228,2.262243765,NA,LHyb,2,WCT/LHyb,1
PIT_89621,migration,1,1,NA,NA,0.328947368,1.287783344,NA,LHyb,2,WCT/LHyb,1
PIT_89145,migration,1,1,NA,NA,0.001736111,-0.615326797,NA,WCT,1,WCT/LHyb,1
PIT_89466,migration,1,1,NA,NA,0.002808989,-0.609086776,NA,WCT,1,WCT/LHyb,1
PIT_139389,migration,1,1,NA,NA,0.222608696,0.669301551,NA,LHyb,2,WCT/LHyb,1
PIT_139422,migration,1,1,NA,NA,0.057093426,-0.293360283,NA,LHyb,2,WCT/LHyb,1
PIT_139384,migration,1,1,NA,NA,0.27480916,0.972907342,NA,LHyb,2,WCT/LHyb,1
PIT_139463,migration,1,1,NA,NA,0.132326821,0.144208516,NA,LHyb,2,WCT/LHyb,1
PIT_139418,migration,1,1,NA,NA,0.002202643,-0.612613376,NA,WCT,1,WCT/LHyb,1
PIT_139429,migration,1,1,NA,NA,0.493006993,2.241978927,NA,LHyb,2,WCT/LHyb,1
PIT_615681,migration,1,1,NA,NA,0.492160279,2.237054311,NA,LHyb,2,WCT/LHyb,1
PIT_89106,migration,1,1,NA,NA,0.244347826,0.795739618,NA,LHyb,2,WCT/LHyb,1
PIT_615717,migration,1,1,NA,NA,0.488203267,2.214039731,NA,LHyb,2,WCT/LHyb,1
PIT_615158,migration,1,1,NA,NA,0.300275482,1.121023321,NA,LHyb,2,WCT/LHyb,1
PIT_615144,migration,1,1,NA,NA,0.11987041,0.071760147,NA,LHyb,2,WCT/LHyb,1
PIT_139609,migration,1,1,NA,NA,0,-0.625424281,NA,WCT,1,WCT/LHyb,1
PIT_615659,migration,1,1,NA,NA,0.495682211,2.2575384,NA,LHyb,2,WCT/LHyb,1
PIT_615107,migration,1,1,NA,NA,0.511607143,2.350160212,NA,HHyb,3,HHyb,2
