"FishID","CaptureLocation","HIS","Oto_M","OTO_S","VisualStray","Water_M","Water_S","TotalSD","Prob","Stray","StrayBool","pRBT","lpRBT","F1","HybridClasses3","HybridClasses2"
"CYC1","CYC",39,0.72511101,0.000387305,"H",0.725487688,9e-05,0.00135769627053513,0.390721489885311,"H",0,0.5,0.0400053346136992,1,"HHyb","HHyb"
"CYC2","CYC",39,0.731270188,0.000266806,"S",0.725487688,9e-05,0.00132835215272005,6.71013601116766e-06,"S",1,0.5,0.0400053346136992,1,"HHyb","HHyb"
"CYC7","CYC",2,0.724128055,0.000426566,"H",0.725487688,9e-05,0.00136941321461274,0.16038955608746,"H",0,0.0256410256410256,-3.29796622533964,0,"LHyb","WCT/LHyb"
"CYC8","CYC",39,0.724282828,0.000638885,"H",0.725487688,9e-05,0.00144965790558497,0.202948962049032,"H",0,0.5,0.0400053346136992,1,"HHyb","HHyb"
"CYC9","CYC",39,0.731196987,0.000408296,"S",0.725487688,9e-05,0.00136383269634365,1.41821378726315e-05,"S",1,0.5,0.0400053346136992,1,"HHyb","HHyb"
"CYC10","CYC",43,0.731216446,5.41e-05,"S",0.725487688,9e-05,0.00130240577778202,5.44764925070051e-06,"S",1,0.551282051282051,0.24636682363067,0,"HHyb","HHyb"
"CYC11","CYC",27,0.732416572,0.00021341,"S",0.725487688,9e-05,0.00131866516906302,7.42264563147188e-08,"S",1,0.346153846153846,-0.592097016403241,0,"LHyb","WCT/LHyb"
"CYC12","CYC",0,0.722953639,0.000464151,"H",0.725487688,9e-05,0.00138158248063624,0.0333148186550868,"S",1,0,-4.59511985013459,0,"WCT","WCT/LHyb"
"CYC13","CYC",0,0.7314,0.00072846,"S",0.725487688,9e-05,0.00149130411774393,3.67711670703486e-05,"S",1,0,-4.59511985013459,0,"WCT","WCT/LHyb"
"CYC14","CYC",39,0.724658667,0.000388413,"H",0.725487688,9e-05,0.00135801276082701,0.270776486553205,"H",0,0.5,0.0400053346136992,1,"HHyb","HHyb"
"CYC15","CYC",0,0.724,0.00021489,"H",0.725487688,9e-05,0.00131890549778974,0.12966594779049,"H",0,0,-4.59511985013459,0,"WCT","WCT/LHyb"
"MCG1","MCG",0,0.734786,0.000200217,"H",0.732845122,0.004688317,0.00486884351151051,0.345082100851299,"H",0,0,-4.59511985013459,0,"WCT","WCT/LHyb"
"MCG4","MCG",2,0.729699523,0.001771482,"H",0.732845122,0.004688317,0.0051772288696573,0.271731863026122,"H",0,0.0256410256410256,-3.29796622533964,0,"LHyb","WCT/LHyb"
"MCG5","MCG",29,0.7314,0.00124924,"H",0.732845122,0.004688317,0.0050225641728194,0.386778265860511,"H",0,0.371794871794872,-0.481936845497162,0,"LHyb","WCT/LHyb"
"MCG6","MCG",4,0.733038822,0.001125183,"H",0.732845122,0.004688317,0.00499315402085475,0.48452766692097,"H",0,0.0512820512820513,-2.72902806118873,0,"LHyb","WCT/LHyb"
"MCG7","MCG",8,0.738007019,0.002618126,"H",0.732845122,0.004688317,0.00552450305858952,0.175058070120276,"H",0,0.102564102564103,-2.06481343056017,0,"LHyb","WCT/LHyb"
"MCG8","MCG",31,0.730049138,0.001187221,"H",0.732845122,0.004688317,0.0050074987763683,0.28829949625957,"H",0,0.397435897435897,-0.374575443737665,0,"LHyb","WCT/LHyb"
"MCG9","MCG",25,0.728119548,0.001012209,"H",0.732845122,0.004688317,0.00496891510816697,0.170795254676508,"H",0,0.320512820512821,-0.705866565759941,0,"LHyb","WCT/LHyb"
"MCG11","MCG",26,0.745018333,0.002121661,"S",0.732845122,0.004688317,0.00530725877373715,0.0109041307447313,"S",1,0.333333333333333,-0.648474740508353,0,"LHyb","WCT/LHyb"
"MCG12","MCG",31,0.732125835,0.001363685,"H",0.732845122,0.004688317,0.00505224574538036,0.443393974648121,"H",0,0.397435897435897,-0.374575443737665,0,"LHyb","WCT/LHyb"
"MCG14","MCG",39,0.727480194,0.000647766,"S",0.732845122,0.004688317,0.00490766248668804,0.137158751278614,"H",0,0.5,0.0400053346136992,1,"HHyb","HHyb"
"MCG15","MCG",34,0.729635107,0.002377666,"H",0.732845122,0.004688317,0.00541468797808747,0.276645886587324,"H",0,0.435897435897436,-0.217260842152603,0,"LHyb","WCT/LHyb"
