site_id,stream_code,stream_position,site_name,waterbody_name,lat_dd,long_dd,date_established,N_samples_to_date,notes
BIG-010,BIG,10,Big Creek @ MFSR confluence,Big Creek,45.09418,-114.73425,9/15/2024,2,
BSK-010,BSK,10,Bearskin Creek lower,Bearskin Creek,44.40678,-115.493,10/30/2024,1,
BVC-010,BVC,10,Bear Valley Creek @ Bruce Meadows camp,Bear Valley Creek,44.42786,-115.3307,10/30/2024,1,
BVC-020,BVC,20,Bear Valley Creek (lower) below Pole Creek,Bear Valley Creek,44.39233,-115.37263,10/30/2024,1,
BVC-030,BVC,30,Bear Valley Creek (upper) below Cashe Creek,Bear Valley Creek,44.34712,-115.41619,10/30/2024,1,
BVR-010,BVR,10,Beaver Creek,Beaver Creek,44.4134,-115.14974,10/30/2024,1,
CAM-010,CAM,10,Camus Creek @ MFSR confluence,Camus Creek,44.89184,-114.72192,9/14/2024,2,
CPH-010,CPH,10,Cape Horn Creek,Cape Horn,44.36305,-115.20078,10/30/2024,1,
ELK-010,ELK,10,Elk Creek lower,Elk Creek,44.41664,-115.39053,10/30/2024,1,
ELK-020,ELK,20,Elk Creek upper,Elk Creek,44.41699,-115.47122,10/30/2024,1,
IND-010,IND,10,Indian Creek @ MFSR confluence,Indian Creek,44.76937,-115.09184,9/12/2024,2,
KNP-010,KNP,10,Knapp Creek,Knapp Creek,44.36848,-115.12468,10/30/2024,1,
LOO-010,LOO,10,Loon Creek @ MFSR confluence,Loon Creek,44.80714,-114.81135,9/13/2024,2,
MFSR-010,MFSR,10,MFSR @ Clamshell Rock,Middle Fork Salmon River,45.26355,-114.63625,9/16/2024,2,
MFSR-020,MFSR,20,MFSR @ Ship Island camp,Middle Fork Salmon River,45.17903,-114.7224,9/16/2024,2,
MFSR-030,MFSR,30,MFSR @ Cold Springs,Middle Fork Salmon River,45.00377,-114.72847,9/15/2024,2,
MFSR-040,MFSR,40,MFSR @ Upper Grouse camp,Middle Fork Salmon River,44.86873,-114.76819,9/14/2024,2,
MFSR-050,MFSR,50,MFSR @ Mahoney camp,Middle Fork Salmon River,44.7502,-114.91739,9/13/2024,2,
MFSR-060,MFSR,60,MFSR @ Sheepeater Camp,Middle Fork Salmon River,44.62813,-115.19611,9/10/2025,1,
MFSR-070,MFSR,70,MFSR @ Boundary Creek,Middle Fork Salmon River,44.5321,-115.29453,9/11/2024,2,
MRB-010,MRB,10,Marble Creek @ MFSR confluence,Marble Creek,44.74471,-115.01748,9/12/2024,2,
MRS-010,MRS,10,Marsh Creek below Beaver Creek,Marsh Creek,44.41183,-115.18398,10/30/2024,1,
MRS-020,MRS,20,Marsh Creek below Cape Horn Creek,Marsh Creek,44.39776,-115.1701,10/30/2024,1,
MRS-030,MRS,30,Marsh Creek (upper),Marsh Creek,44.37435,-115.142,10/30/2024,1,
PIS-010,PIS,10,Pistol Creek @ MFSR confluence,Pistol Creek,44.72313,-115.15084,9/12/2024,2,
RAP-010,RAP,10,Rapid River @ MFSR confluence,Rapid River,44.67982,-115.15186,9/12/2024,2,
SHP-010,SHP,10,Sheep Creek @ MFSR confluence,Sheep Creek,44.94284,-114.72865,9/14/2024,2,
SR-010,SR,10,SR above Cashe Bar,Salmon River,45.30087,-114.61268,9/16/2024,1,
SR-020,SR,20,SR @ MFSR confluence (Stoddard),Salmon River,45.29811,-114.59403,9/16/2024,2,
SUL-010,SUL,10,Sulphur Creek @ MFSR confluence,Sulphur Creek,44.55447,-115.29925,9/11/2024,2,
WIL-010,WIL,10,Wilson Creek @ MFSR confluence,Wilson Creek,45.03366,-114.72323,9/15/2024,2,
