sample_id,site_id,collection_date,collection_notes,site_name,waterbody_name,stream_code,lat_dd,long_dd,sr_87,sr_87_se,n_analytical_runs,icpms_batch
MF-24-001,MFSR-070,2024-09-11,NA,MFSR @ Boundary Creek,Middle Fork Salmon River,MFSR,44.5321,-115.29453,0.7085336460715421,1.392e-5,1,sr_water_2024_rjohnson
MF-24-002,SUL-010,2024-09-11,NA,Sulphur Creek @ MFSR confluence,Sulphur Creek,SUL,44.55447,-115.29925,0.7084066258437615,1.688e-5,1,sr_water_2024_rjohnson
MF-24-003,RAP-010,2024-09-12,NA,Rapid River @ MFSR confluence,Rapid River,RAP,44.67982,-115.15186,0.7089530839396342,1.34e-5,1,sr_water_2024_rjohnson
MF-24-004,PIS-010,2024-09-12,NA,Pistol Creek @ MFSR confluence,Pistol Creek,PIS,44.72313,-115.15084,0.7089886347484144,1.0361100327667906e-5,2,sr_water_2024_rjohnson
MF-24-005,IND-010,2024-09-12,NA,Indian Creek @ MFSR confluence,Indian Creek,IND,44.76937,-115.09184,0.708936695328442,1.414e-5,1,sr_water_2024_rjohnson
MF-24-006,MRB-010,2024-09-12,NA,Marble Creek @ MFSR confluence,Marble Creek,MRB,44.74471,-115.01748,0.7088513104771413,1.784e-5,1,sr_water_2024_rjohnson
MF-24-007,MFSR-050,2024-09-13,NA,MFSR @ Mahoney camp,Middle Fork Salmon River,MFSR,44.7502,-114.91739,0.7087353400168981,1.826e-5,1,sr_water_2024_rjohnson
MF-24-008,LOO-010,2024-09-13,NA,Loon Creek @ MFSR confluence,Loon Creek,LOO,44.80714,-114.81135,0.7090322847990485,1.426e-5,1,sr_water_2024_rjohnson
MF-24-009,MFSR-040,2024-09-14,NA,MFSR @ Upper Grouse camp,Middle Fork Salmon River,MFSR,44.86873,-114.76819,0.708832437063841,1.176e-5,1,sr_water_2024_rjohnson
MF-24-010,CAM-010,2024-09-14,NA,Camas Creek @ MFSR confluence,Camas Creek,CAM,44.89184,-114.72192,0.7123143893312727,1.978e-5,1,sr_water_2024_rjohnson
MF-24-011,SHP-010,2024-09-14,NA,Sheep Creek @ MFSR confluence,Sheep Creek,SHP,44.94284,-114.72865,0.7084513753363416,1.448e-5,1,sr_water_2024_rjohnson
MF-24-012,MFSR-030,2024-09-15,NA,MFSR @ Cold Springs,Middle Fork Salmon River,MFSR,45.00377,-114.72847,0.7091304580638298,1.054e-5,1,sr_water_2024_rjohnson
MF-24-013,WIL-010,2024-09-15,NA,Wilson Creek @ MFSR confluence,Wilson Creek,WIL,45.03366,-114.72323,0.727387907249639,2.86e-5,1,sr_water_2024_rjohnson
MF-24-014,BIG-010,2024-09-15,NA,Big Creek @ MFSR confluence,Big Creek,BIG,45.09418,-114.73425,0.7143486168927431,1.674e-5,1,sr_water_2024_rjohnson
